,date,plume_lat,plume_lon,emission,source_type,ipcc
2595,22/09/2021,40.0559078,-104.9922,78.2836221,well,1B2 Oil & Natural Gas
2596,07/08/2021,32.1508842,-104.0713,1559.35237,well,1B2 Oil & Natural Gas
2597,09/08/2021,31.755056,-103.51104,2231.751938,processing,1B2 Oil & Natural Gas
2598,04/08/2021,32.3872827,-101.93289,32.28936549,well,1B2 Oil & Natural Gas
2599,29/07/2021,32.0644323,-103.92921,74.79998024,pipeline,1B2 Oil & Natural Gas
2600,04/08/2021,31.643721,-101.76708,299.1400343,processing,1B2 Oil & Natural Gas
2601,18/07/2021,39.6637934,-104.69195,32.26484335,landfill,6A Solid Waste Disposal On Land
2602,22/07/2021,39.9534511,-104.90059,75.37722673,well,1B2 Oil & Natural Gas
2603,26/07/2021,32.1205265,-101.8897,68.1612558,tank,1B2 Oil & Natural Gas
2604,10/08/2021,31.650047,-101.71616,301.2157159,pipeline,1B2 Oil & Natural Gas
2605,26/07/2021,32.3070018,-101.84446,40.71670545,well,1B2 Oil & Natural Gas
2606,08/08/2021,31.647646,-101.73637,470.840192,pipeline,1B2 Oil & Natural Gas
2607,22/07/2021,40.0175815,-104.88901,171.5212608,well,1B2 Oil & Natural Gas
2608,27/07/2021,32.077337,-103.53367,63.19742433,compressor,1B2 Oil & Natural Gas
2609,22/07/2021,40.1183908,-104.63905,15.38239871,compressor,1B2 Oil & Natural Gas
2610,13/05/2021,40.061149,-80.314838,324.259884,coal vent,1B1a Coal Mining
2611,26/07/2021,31.661764,-101.87347,403.0985597,pipeline,1B2 Oil & Natural Gas
2612,06/08/2021,31.971991,-103.54728,101.5047289,well,1B2 Oil & Natural Gas
2613,08/05/2021,28.9290248,-90.3527,560.6194586,well,1B2 Oil & Natural Gas
2614,29/07/2021,31.9836453,-103.86804,459.2773828,compressor,1B2 Oil & Natural Gas
2615,07/08/2021,32.2199914,-103.52967,446.0384723,processing,1B2 Oil & Natural Gas
2616,10/08/2021,31.938994,-101.8859,1622.688485,pipeline,1B2 Oil & Natural Gas
2617,27/07/2021,31.862936,-103.59355,99.58165423,well,1B2 Oil & Natural Gas
2618,07/08/2021,32.1840773,-103.56223,243.6527409,tank,1B2 Oil & Natural Gas
2619,29/07/2021,32.064982,-103.88284,560.355595,compressor,1B2 Oil & Natural Gas
2620,29/07/2021,32.187765,-104.04016,436.8894899,tank,1B2 Oil & Natural Gas
2621,07/08/2021,32.225727,-103.57092,1628.677591,well,1B2 Oil & Natural Gas
2622,09/08/2021,31.607474,-103.62303,786.9620528,well,1B2 Oil & Natural Gas
2623,29/07/2021,32.2715388,-103.81512,155.7155415,compressor,1B2 Oil & Natural Gas
2624,22/07/2021,39.6614823,-104.69196,133.6953243,landfill,6A Solid Waste Disposal On Land
2625,10/08/2021,31.654922,-102.12791,249.1616148,pipeline,1B2 Oil & Natural Gas
2626,19/07/2021,39.662373,-104.6856,131.3141689,landfill,6A Solid Waste Disposal On Land
2627,10/08/2021,31.8192396,-102.12952,101.478002,well,1B2 Oil & Natural Gas
2628,10/08/2021,32.090612,-101.82451,312.6986551,compressor,1B2 Oil & Natural Gas
2629,09/08/2021,31.833468,-103.48824,348.1957583,tank,1B2 Oil & Natural Gas
2630,04/08/2021,32.175007,-101.9365,96.58574386,tank,1B2 Oil & Natural Gas
2631,09/08/2021,31.7538616,-103.61966,213.047122,tank,1B2 Oil & Natural Gas
2632,29/07/2021,32.0646573,-103.72541,93.55887346,pipeline,1B2 Oil & Natural Gas
2633,26/07/2021,31.928564,-101.92432,198.6081075,well,1B2 Oil & Natural Gas
2634,26/07/2021,31.931023,-101.89243,426.8603135,pipeline,1B2 Oil & Natural Gas
2635,10/08/2021,31.931023,-101.89243,426.8603135,pipeline,1B2 Oil & Natural Gas
2636,26/07/2021,31.931063,-101.89243,257.6586204,pipeline,1B2 Oil & Natural Gas
2637,10/08/2021,31.931063,-101.89243,257.6586204,pipeline,1B2 Oil & Natural Gas
2638,29/07/2021,32.218079,-103.59829,409.1587422,tank,1B2 Oil & Natural Gas
2639,07/08/2021,32.196531,-103.57878,346.6341329,well,1B2 Oil & Natural Gas
2640,06/08/2021,32.06484,-103.72866,305.1169897,pipeline,1B2 Oil & Natural Gas
2641,04/08/2021,32.037637,-101.8399,47.2954784,pipeline,1B2 Oil & Natural Gas
